,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Budget,Earliest Release Date,MPAA,Running Time,Genres,"
                        IMDbPro
                    "
168,169,Miss & Mrs. Cops,"$12,147,170","$104,578",0.9%,"$12,042,592",99.1%,2019,"CJ EntertainmentSee full company information

","$15,073",,"May 9, 2019
            (South Korea)",,1 hr 47 min,"Action
    
        Comedy
    
        Crime","See more details at IMDbPro

"
169,170,The Divine Fury,"$11,799,556","$102,982",0.9%,"$11,696,574",99.1%,2019,"Well Go USA EntertainmentSee full company information

","$43,863",,"July 31, 2019
            (South Korea)",,2 hr 9 min,"Action
    
        Horror
    
        Thriller","See more details at IMDbPro

"
170,171,Bring The Soul: The Movie,"$11,393,886","$4,809,800",42.2%,"$6,584,086",57.8%,2019,"Trafalgar ReleasingSee full company information

","$2,296,491",,"August 1, 2019
            (LATAM, EMEA)",,1 hr 43 min,"Documentary
    
        Music","See more details at IMDbPro

"
171,172,Gloria Bell,"$11,145,006","$5,611,123",50.3%,"$5,533,883",49.7%,2019,"A24See full company information

","$145,218",,"March 7, 2019
            (Italy)",R,1 hr 42 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

"
172,173,"Where'd You Go, Bernadette","$10,347,840","$9,198,356",88.9%,"$1,149,484",11.1%,2019,"United Artists ReleasingSee full company information

","$3,462,308",,"August 16, 2019
            (Domestic, EMEA)",PG-13,1 hr 49 min,"Comedy
    
        Drama","See more details at IMDbPro

"
173,174,The Best of Enemies,"$10,209,813","$10,205,616",100%,"$4,197",<0.1%,2019,"STX EntertainmentSee full company information

","$4,446,190","$10,000,000","April 5, 2019
            (Domestic)",PG-13,2 hr 13 min,"Biography
    
        Drama
    
        History","See more details at IMDbPro

"
174,175,BTS World Tour: Love Yourself in Seoul,"$10,195,760","$3,509,917",34.4%,"$6,685,843",65.6%,2019,"Fathom EventsSee full company information

","$2,860,016",,"January 24, 2019
            (9 markets)",,1 hr 52 min,"Documentary
    
        Music","See more details at IMDbPro

"
175,176,The Goldfinch,"$9,932,621","$5,332,621",53.7%,"$4,600,000",46.3%,2019,"Warner Bros.See full company information

","$2,679,027","$45,000,000","September 12, 2019
            (EMEA, APAC)",R,2 hr 29 min,Drama,"See more details at IMDbPro

"
176,177,Portrait of a Lady on Fire,"$9,915,428","$3,759,854",37.9%,"$6,155,574",62.1%,2019,"NeonSee full company information

","$67,344",,"September 18, 2019
            (France)",R,2 hr 2 min,"Drama
    
        Romance","See more details at IMDbPro

"
177,178,Arctic Dogs,"$9,870,905","$5,801,249",58.8%,"$4,069,656",41.2%,2019,"Entertainment Studios Motion PicturesSee full company information

","$2,901,335",,"November 1, 2019
            (Domestic)",PG,1 hr 32 min,"Adventure
    
        Animation
    
        Comedy
    
        Family","See more details at IMDbPro

"
178,179,Tod@s Caen,"$9,667,157","$2,670,925",27.6%,"$6,996,232",72.4%,2019,"Pantelion FilmsSee full company information

","$1,098,401",,"August 30, 2019
            (Domestic)",PG-13,2 hr,Comedy,"See more details at IMDbPro

"
179,180,Official Secrets,"$9,473,603","$1,988,546",21%,"$7,485,057",79%,2019,"IFC FilmsSee full company information

","$64,965",,"August 30, 2019
            (Domestic)",R,1 hr 52 min,"Biography
    
        Crime
    
        Drama
    
        Romance
    
        Thriller
    
        War","See more details at IMDbPro

"
180,181,Promare,"$9,465,371","$2,313,596",24.4%,"$7,151,775",75.6%,2019,"GKIDSSee full company information

","$109,085",,"May 24, 2019
            (Japan)",PG-13,1 hr 51 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Fantasy
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

"
181,182,Jexi,"$9,341,662","$6,546,159",70.1%,"$2,795,503",29.9%,2019,"LionsgateSee full company information

","$3,106,730",,"October 10, 2019
            (EMEA)",R,1 hr 24 min,"Comedy
    
        Romance","See more details at IMDbPro

"
182,183,The Aftermath,"$9,215,591","$1,618,497",17.6%,"$7,597,094",82.4%,2019,"Fox Searchlight PicturesSee full company information

","$56,419",,"March 1, 2019
            (United Kingdom)",R,1 hr 48 min,"Drama
    
        Romance
    
        War","See more details at IMDbPro

"
183,184,Tolkien,"$9,090,040","$4,535,154",49.9%,"$4,554,886",50.1%,2019,"Fox Searchlight PicturesSee full company information

","$2,200,537",,"May 3, 2019
            (United Kingdom)",PG-13,1 hr 52 min,"Biography
    
        Drama
    
        Romance
    
        War","See more details at IMDbPro

"
184,185,Captive State,"$8,808,611","$5,958,315",67.6%,"$2,850,296",32.4%,2019,"Focus FeaturesSee full company information

","$3,131,525",,"March 14, 2019
            (LATAM, APAC)",PG-13,1 hr 49 min,"Action
    
        Adventure
    
        Drama
    
        Horror
    
        Mystery
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

"
185,186,The Traitor,"$8,779,418","$296,027",3.4%,"$8,483,391",96.6%,2019,"Sony Pictures ClassicsSee full company information

","$23,240",,"May 23, 2019
            (Italy)",R,2 hr 33 min,"Biography
    
        Crime
    
        Drama","See more details at IMDbPro

"
186,187,Sorry We Missed You,"$8,766,149","$28,273",0.3%,"$8,737,876",99.7%,2019,,"$9,436",,"October 23, 2019
            (France)",,1 hr 41 min,Drama,"See more details at IMDbPro

"
187,188,Code Geass: Lelouch of the Re;Surrection 2019 Re-release,"$8,715,612","$522,805",6%,"$8,192,807",94%,2019,,,,"October 21, 2017
            (Japan)",Not Rated,1 hr 52 min,"Action
    
        Adventure
    
        Animation
    
        Drama
    
        Mystery
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

"
188,189,Mardaani 2,"$8,677,988",-,-,"$8,677,988",100%,2019,"Yash Raj FilmsSee full company information

",,"$2,800,000","December 12, 2019
            (EMEA, APAC)",,1 hr 43 min,"Action
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

"
189,190,Corpus Christi,"$8,662,587","$127,240",1.5%,"$8,535,347",98.5%,2019,"Film MovementSee full company information

","$4,632",,"October 11, 2019
            (Poland)",,1 hr 55 min,Drama,"See more details at IMDbPro

"
190,191,Pavarotti,"$7,885,016","$4,600,249",58.3%,"$3,284,767",41.7%,2019,"CBS FilmsSee full company information

","$144,032",,"June 7, 2019
            (Domestic)",PG-13,1 hr 54 min,"Biography
    
        Documentary
    
        Music","See more details at IMDbPro

"
191,192,The Battle of Jangsari,"$7,883,200","$70,853",0.9%,"$7,812,347",99.1%,2019,"Well Go USA EntertainmentSee full company information

","$8,552",,"September 25, 2019
            (South Korea)",,1 hr 44 min,"Action
    
        Drama
    
        War","See more details at IMDbPro

"
192,193,By the Grace of God,"$7,755,652","$67,059",0.9%,"$7,688,593",99.1%,2019,"Music Box FilmsSee full company information

","$7,765",,"February 20, 2019
            (France)",,2 hr 17 min,"Crime
    
        Drama","See more details at IMDbPro

"
193,194,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,"$7,733,048","$34,135",0.4%,"$7,698,913",99.6%,2019,"FUNimation EntertainmentSee full company information

",,,"January 4, 2019
            (Japan)",,1 hr 40 min,"Animation
    
        Music","See more details at IMDbPro

"
194,195,Penguins,"$7,699,452","$7,699,452",100%,-,-,2019,Walt Disney Studios,"$2,282,593",,"April 17, 2019
            (Domestic)",G,1 hr 16 min,"Documentary
    
        Family","See more details at IMDbPro

"
195,196,The White Crow,"$7,622,595","$1,828,784",24%,"$5,793,811",76%,2019,"Sony Pictures ClassicsSee full company information

","$78,782",,"March 22, 2019
            (United Kingdom)",R,2 hr 7 min,"Biography
    
        Drama","See more details at IMDbPro

"
196,197,The Whistleblower,"$7,505,141","$280,851",3.7%,"$7,224,290",96.3%,2019,"CMC Pictures HoldingsSee full company information

","$150,481",,"December 5, 2019
            (New Zealand)",,2 hr 14 min,"Action
    
        Drama
    
        Mystery","See more details at IMDbPro

"
197,198,Brittany Runs a Marathon,"$7,442,106","$7,189,808",96.6%,"$252,298",3.4%,2019,"Amazon StudiosSee full company information

","$180,711",,"August 23, 2019
            (Domestic)",R,1 hr 44 min,"Comedy
    
        Drama","See more details at IMDbPro

"
198,199,Mayday Life,"$7,435,496","$85,912",1.2%,"$7,349,584",98.8%,2019,"China Lion Film DistributionSee full company information

","$47,769",,"May 23, 2019
            (Australia)",,1 hr 52 min,Music,"See more details at IMDbPro

"
199,200,Wild Rose,"$7,123,449","$1,635,117",23%,"$5,488,332",77%,2019,"NeonSee full company information

","$52,938",,"April 12, 2019
            (United Kingdom)",R,1 hr 41 min,"Comedy
    
        Drama
    
        Music","See more details at IMDbPro

"
200,201,The Sun Is Also a Star,"$6,750,029","$4,950,029",73.3%,"$1,800,000",26.7%,2019,"Warner Bros.See full company information

","$2,511,530",,"May 16, 2019
            (LATAM, EMEA)",PG-13,1 hr 40 min,"Drama
    
        Music
    
        Romance","See more details at IMDbPro

"
201,202,Pati Patni Aur Woh,"$6,712,525","$874,044",13%,"$5,838,481",87%,2019,"Eros InternationalSee full company information

","$432,145",,"December 5, 2019
            (APAC, EMEA)",,2 hr 6 min,"Comedy
    
        Romance","See more details at IMDbPro

"
202,203,Fleabag,"$6,572,099","$326,283",5%,"$6,245,816",95%,2019,"Fathom EventsSee full company information

",,,"September 6, 2019
            (United Kingdom)",,1 hr 20 min,Comedy,"See more details at IMDbPro

"
203,204,Run the Race,"$6,424,420","$6,424,420",100%,-,-,2019,"Roadside AttractionsSee full company information

","$2,161,480",,"February 22, 2019
            (Domestic)",PG,1 hr 41 min,"Drama
    
        Sport","See more details at IMDbPro

"
204,205,The Mustang,"$6,405,816","$5,043,620",78.7%,"$1,362,196",21.3%,2019,"Focus FeaturesSee full company information

","$71,657",,"March 15, 2019
            (Domestic)",R,1 hr 36 min,Drama,"See more details at IMDbPro

"
205,206,Immortal Hero,"$6,180,032","$43,007",0.7%,"$6,137,025",99.3%,2019,"Freestyle ReleasingSee full company information

","$20,629",,"October 18, 2019
            (Domestic, APAC)",PG,1 hr 58 min,Drama,"See more details at IMDbPro

"
206,207,"Cyrano, My Love","$5,985,822","$351,019",5.9%,"$5,634,803",94.1%,2019,"Roadside AttractionsSee full company information

",,,"January 9, 2019
            (France)",R,1 hr 50 min,"Comedy
    
        Drama
    
        History","See more details at IMDbPro

"
207,208,Blue Story,"$5,904,778",-,-,"$5,904,778",100%,2019,"Paramount PicturesSee full company information

",,,"November 22, 2019
            (United Kingdom)",R,1 hr 31 min,"Crime
    
        Drama","See more details at IMDbPro

"
208,209,Furie,"$5,717,640","$594,788",10.4%,"$5,122,852",89.6%,2019,"Well Go USA EntertainmentSee full company information

","$156,120",,"February 22, 2019
            (Vietnam)",,1 hr 38 min,"Action
    
        Drama
    
        Thriller","See more details at IMDbPro

"
209,210,Saaho,"$5,708,522","$2,872,057",50.3%,"$2,836,465",49.7%,2019,"Yash Raj FilmsSee full company information

","$1,452,102",,"August 29, 2019
            (3 markets)",,2 hr 50 min,"Action
    
        Thriller","See more details at IMDbPro

"
210,211,Mission Mangal,"$5,667,057","$3,659,413",64.6%,"$2,007,644",35.4%,2019,"FIPSee full company information

","$1,365,006",,"August 15, 2019
            (5 markets)",,2 hr 10 min,"Drama
    
        History","See more details at IMDbPro

"
211,212,Pagalpanti,"$5,633,633","$423,340",7.5%,"$5,210,293",92.5%,2019,"Eros InternationalSee full company information

","$227,714",,"November 21, 2019
            (APAC, EMEA)",,2 hr 29 min,"Action
    
        Comedy","See more details at IMDbPro

"
212,213,Don't Let Go,"$5,288,011","$5,215,062",98.6%,"$72,949",1.4%,2019,OTL Releasing,"$2,338,669","$5,000,000","August 30, 2019
            (Domestic)",R,1 hr 43 min,"Drama
    
        Horror
    
        Mystery
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

"
213,214,Les Misérables: The Staged Concert,"$5,251,642","$459,478",8.7%,"$4,792,164",91.3%,2019,"Trafalgar ReleasingSee full company information

","$192,034",,"November 22, 2019
            (Spain)",,2 hr 25 min,"Drama
    
        History
    
        Musical
    
        Romance
    
        War","See more details at IMDbPro

"
214,215,The Biggest Little Farm,"$5,248,412","$4,366,949",83.2%,"$881,463",16.8%,2019,"NeonSee full company information

","$110,492",,"May 10, 2019
            (Domestic)",PG,1 hr 31 min,Documentary,"See more details at IMDbPro

"
215,216,The Truth,"$5,226,195","$8,206",0.2%,"$5,217,989",99.8%,2019,"IFC FilmsSee full company information

","$2,200",,"October 10, 2019
            (Italy)",PG,1 hr 46 min,"Drama
    
        Family","See more details at IMDbPro

"
216,217,The Professor and the Madman,"$5,105,195",-,-,"$5,105,195",100%,2019,"Vertical EntertainmentSee full company information

",,,"March 15, 2019
            (Mexico)",,2 hr 4 min,"Biography
    
        Drama","See more details at IMDbPro

"
217,218,Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"$5,078,942","$1,134,786",22.3%,"$3,944,156",77.7%,2019,"Fathom EventsSee full company information

",,,"August 30, 2019
            (Japan)",,1 hr 30 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Fantasy","See more details at IMDbPro

"
218,219,Menteur,"$4,697,364","$4,697,364",100%,-,-,2019,"Entertainment OneSee full company information

","$607,229",,"July 12, 2019
            (Domestic)",,1 hr 51 min,Comedy,"See more details at IMDbPro

"
219,220,Jay and Silent Bob Reboot,"$4,691,248","$4,589,490",97.8%,"$101,758",2.2%,2019,"Saban FilmsSee full company information

","$93,520",,"October 15, 2019
            (Domestic)",R,1 hr 45 min,Comedy,"See more details at IMDbPro

"
220,221,Housefull 4,"$4,625,481","$2,109,160",45.6%,"$2,516,321",54.4%,2019,"FIPSee full company information

","$904,808",,"October 24, 2019
            (EMEA, APAC)",,2 hr 25 min,"Action
    
        Comedy
    
        Fantasy","See more details at IMDbPro

"
221,222,A Hidden Life,"$4,614,219","$1,730,597",37.5%,"$2,883,622",62.5%,2019,"Fox Searchlight PicturesSee full company information

","$50,383",,"December 11, 2019
            (France)",PG-13,2 hr 54 min,"Biography
    
        Drama
    
        Romance
    
        War","See more details at IMDbPro

"
222,223,The Last Black Man in San Francisco,"$4,607,017","$4,515,719",98%,"$91,298",2%,2019,"A24See full company information

","$235,272",,"June 7, 2019
            (Domestic)",R,2 hr 1 min,Drama,"See more details at IMDbPro

"
223,224,The Beach Bum,"$4,554,416","$3,502,600",76.9%,"$1,051,816",23.1%,2019,"NeonSee full company information

","$1,763,070",,"March 28, 2019
            (EMEA, APAC)",R,1 hr 35 min,Comedy,"See more details at IMDbPro

"
224,225,Swift,"$4,428,275",-,-,"$4,428,275",100%,2019,"Shout! FactorySee full company information

",,,"January 25, 2019
            (Bulgaria)",,1 hr 30 min,"Adventure
    
        Animation
    
        Comedy
    
        Family","See more details at IMDbPro

"
225,226,Brian Banks,"$4,376,819","$4,376,819",100%,-,-,2019,"Bleecker Street MediaSee full company information

","$2,156,272",,"August 9, 2019
            (Domestic)",PG-13,1 hr 39 min,"Biography
    
        Drama
    
        Sport","See more details at IMDbPro

"
226,227,Uri: The Surgical Strike 2019 Re-release,"$4,302,454","$4,186,168",97.3%,"$116,286",2.7%,2019,,,,"January 10, 2019
            (APAC, EMEA)",,2 hr 18 min,"Action
    
        Drama
    
        War","See more details at IMDbPro

"
227,228,Linda Ronstadt: The Sound of My Voice,"$4,252,657","$4,252,657",100%,-,-,2019,"Greenwich EntertainmentSee full company information

","$113,235",,"September 6, 2019
            (Domestic)",PG-13,1 hr 35 min,"Biography
    
        Documentary
    
        Music","See more details at IMDbPro

"
228,229,Savage,"$4,140,502","$74,491",1.8%,"$4,066,011",98.2%,2019,"Well Go USA EntertainmentSee full company information

","$36,590",,"April 30, 2019
            (China)",Not Rated,1 hr 52 min,"Action
    
        Crime
    
        Thriller","See more details at IMDbPro

"
229,230,Arctic 2019 Re-release,"$4,124,015","$2,410,795",58.5%,"$1,713,220",41.5%,2019,,,,"April 19, 2016
            (Turkey)",PG-13,1 hr 38 min,"Adventure
    
        Drama","See more details at IMDbPro

"
230,231,Junglee,"$4,033,587","$295,784",7.3%,"$3,737,803",92.7%,2019,"Viva PicturesSee full company information

","$47,089",,"March 28, 2019
            (EMEA, APAC)",,1 hr 55 min,"Action
    
        Adventure","See more details at IMDbPro

"
231,232,Ride Your Wave,"$3,995,885","$332,432",8.3%,"$3,663,453",91.7%,2019,"Fathom EventsSee full company information

","$19,643",,"June 21, 2019
            (Japan)",,1 hr 35 min,"Animation
    
        Comedy
    
        Drama
    
        Family
    
        Fantasy
    
        Romance","See more details at IMDbPro

"
232,233,Lucifer,"$3,956,978",-,-,"$3,956,978",100%,2019,,,,"March 28, 2019
            (3 markets)",,2 hr 55 min,"Action
    
        Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

"
233,234,Western Stars,"$3,681,681","$1,581,681",43%,"$2,100,000",57%,2019,"Warner Bros.See full company information

","$560,282",,"October 25, 2019
            (Domestic)",PG,1 hr 23 min,"Documentary
    
        Music","See more details at IMDbPro

"
234,235,Badla,"$3,590,894","$1,861,000",51.8%,"$1,729,894",48.2%,2019,"Reliance Big PicturesSee full company information

","$596,446",,"March 7, 2019
            (APAC, EMEA)",,1 hr 58 min,"Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
235,236,The Oscar Nominated Short Films 2019: Documentary,"$3,538,550","$3,531,094",99.8%,"$7,456",0.2%,2019,"Shorts InternationalSee full company information

","$938,455",,"February 8, 2019
            (Domestic)",,,Documentary,"See more details at IMDbPro

"
236,237,Bacurau,"$3,537,287","$58,115",1.6%,"$3,479,172",98.4%,2019,"Kino LorberSee full company information

","$14,691",,"August 29, 2019
            (Brazil)",,2 hr 11 min,"Adventure
    
        Horror
    
        Mystery
    
        Thriller
    
        Western","See more details at IMDbPro

"
237,238,Ek Ladki Ko Dekha Toh Aisa Laga,"$3,531,837","$1,182,636",33.5%,"$2,349,201",66.5%,2019,"FIPSee full company information

","$606,775",,"January 31, 2019
            (Australia)",,2 hr,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

"
238,239,Faustina: Love and Mercy,"$3,498,887","$2,243,180",64.1%,"$1,255,707",35.9%,2019,"Fathom EventsSee full company information

",,,"March 29, 2019
            (Poland)",,1 hr 47 min,"Biography
    
        Drama
    
        Family","See more details at IMDbPro

"
239,240,Maiden,"$3,495,241","$3,168,978",90.7%,"$326,263",9.3%,2019,"Sony Pictures ClassicsSee full company information

","$46,931",,"March 8, 2019
            (United Kingdom)",PG,1 hr 37 min,"Documentary
    
        Sport","See more details at IMDbPro

"
240,241,The Aeronauts,"$3,472,708",-,-,"$3,472,708",100%,2019,"Amazon StudiosSee full company information

",,,"June 12, 2019
            (Vietnam)",PG-13,1 hr 40 min,"Action
    
        Adventure
    
        Drama
    
        Romance","See more details at IMDbPro

"
241,242,Midnight Diner,"$3,412,771","$18,555",0.5%,"$3,394,216",99.5%,2019,"Well Go USA EntertainmentSee full company information

","$10,861",,"August 30, 2019
            (China)",,1 hr 43 min,Drama,"See more details at IMDbPro

"
242,243,Friends 25th: The One With The Anniversary,"$3,403,406","$2,884,827",84.8%,"$518,579",15.2%,2019,"Fathom EventsSee full company information

","$1,177,873",,"September 23, 2019
            (Domestic)",,1 hr 45 min,Comedy,"See more details at IMDbPro

"
243,244,Honey Boy,"$3,400,977","$3,012,615",88.6%,"$388,362",11.4%,2019,"Amazon StudiosSee full company information

","$301,065",,"November 7, 2019
            (Thailand)",R,1 hr 34 min,Drama,"See more details at IMDbPro

"
244,245,The Hole in the Ground,"$3,373,474","$21,072",0.6%,"$3,352,402",99.4%,2019,"A24See full company information

",,,"March 1, 2019
            (EMEA, Domestic)",R,1 hr 30 min,"Drama
    
        Horror
    
        Mystery","See more details at IMDbPro

"
245,246,Echo in the Canyon,"$3,355,324","$3,355,324",100%,-,-,2019,"Greenwich EntertainmentSee full company information

","$117,651",,"May 24, 2019
            (Domestic)",PG-13,1 hr 22 min,"Documentary
    
        Music","See more details at IMDbPro

"
246,247,Panipat,"$3,349,899","$461,863",13.8%,"$2,888,036",86.2%,2019,"Reliance EntertainmentSee full company information

","$295,624",,"December 5, 2019
            (EMEA, APAC)",,2 hr 45 min,"Action
    
        Drama
    
        History
    
        War","See more details at IMDbPro

"
247,248,The Death & Life of John F. Donovan,"$3,326,364","$152,713",4.6%,"$3,173,651",95.4%,2019,"Entertainment OneSee full company information

","$33,340",,"March 13, 2019
            (France)",R,2 hr 3 min,Drama,"See more details at IMDbPro

"
248,249,Chhichhore,"$3,307,350","$2,004,400",60.6%,"$1,302,950",39.4%,2019,"FIPSee full company information

","$614,335",,"September 5, 2019
            (EMEA, APAC)",,2 hr 23 min,"Comedy
    
        Drama","See more details at IMDbPro

"
249,250,Marianne & Leonard: Words of Love,"$3,271,888","$1,012,034",30.9%,"$2,259,854",69.1%,2019,"Roadside AttractionsSee full company information

","$44,942",,"July 5, 2019
            (Domestic)",R,1 hr 42 min,"Biography
    
        Documentary
    
        Music
    
        Romance","See more details at IMDbPro

"
250,251,Pilgrim's Progress,"$3,173,282","$1,294,596",40.8%,"$1,878,686",59.2%,2019,"Fathom EventsSee full company information

","$678,647",,"April 18, 2019
            (Domestic)",PG,1 hr 48 min,"Adventure
    
        Animation
    
        Family
    
        Fantasy","See more details at IMDbPro

"
251,252,All Is True,"$3,019,143","$1,200,481",39.8%,"$1,818,662",60.2%,2019,"Sony Pictures ClassicsSee full company information

","$44,211",,"February 8, 2019
            (United Kingdom)",PG-13,1 hr 41 min,"Biography
    
        Drama
    
        History","See more details at IMDbPro

"
252,253,After the Wedding,"$2,790,019","$1,574,258",56.4%,"$1,215,761",43.6%,2019,"Sony Pictures ClassicsSee full company information

","$50,264",,"August 9, 2019
            (Domestic)",PG-13,1 hr 52 min,Drama,"See more details at IMDbPro

"
253,254,Children of the Sea,"$2,789,668",-,-,"$2,789,668",100%,2019,"Fathom EventsSee full company information

",,,"June 7, 2019
            (Japan)",,1 hr 51 min,"Adventure
    
        Animation
    
        Drama
    
        Family
    
        Fantasy
    
        Mystery","See more details at IMDbPro

"
254,255,Diego Maradona,"$2,656,890",-,-,"$2,656,890",100%,2019,"Home Box Office (HBO)See full company information

",,,"June 14, 2019
            (United Kingdom)",,2 hr 10 min,"Biography
    
        Documentary
    
        Sport","See more details at IMDbPro

"
255,256,Kinky Boots: The Musical,"$2,635,571","$900,451",34.2%,"$1,735,120",65.8%,2019,"Fathom EventsSee full company information

","$386,612",,"June 25, 2019
            (Domestic)",,2 hr 15 min,Musical,"See more details at IMDbPro

"
256,257,Metallica & San Francisco Symphony - S&M2,"$2,582,847","$1,252,385",48.5%,"$1,330,462",51.5%,2019,"Trafalgar ReleasingSee full company information

","$144,736",,"September 19, 2019
            (Bolivia)",,2 hr 30 min,Music,"See more details at IMDbPro

"
257,258,The Informer,"$2,579,970",-,-,"$2,579,970",100%,2019,"Aviron PicturesSee full company information

",,,"August 30, 2019
            (United Kingdom)",R,1 hr 53 min,"Crime
    
        Drama
    
        Thriller","See more details at IMDbPro

"
258,259,Spirits in the Forest,"$2,531,785","$704,744",27.8%,"$1,827,041",72.2%,2019,"Trafalgar ReleasingSee full company information

","$232,452",,"November 21, 2019
            (9 markets)",,1 hr 23 min,"Documentary
    
        Music","See more details at IMDbPro

"
259,260,The Art of Self-Defense,"$2,414,269","$2,410,914",99.9%,"$3,355",0.1%,2019,"Bleecker Street MediaSee full company information

","$114,374",,"July 12, 2019
            (Domestic)",R,1 hr 44 min,"Action
    
        Comedy
    
        Crime
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
260,261,Sound! Euphonium the Movie - Our Promise: A Brand New Day,"$2,403,030","$90,341",3.8%,"$2,312,689",96.2%,2019,"Fathom EventsSee full company information

",,,"April 19, 2019
            (Japan)",,1 hr 40 min,"Animation
    
        Drama
    
        Family
    
        Music","See more details at IMDbPro

"
261,262,Waves,"$2,402,785","$1,658,790",69%,"$743,995",31%,2019,"A24See full company information

","$134,333",,"November 15, 2019
            (Domestic)",R,2 hr 15 min,"Drama
    
        Romance
    
        Sport","See more details at IMDbPro

"
262,263,Piranhas,"$2,298,525","$23,494",1%,"$2,275,031",99%,2019,"Music Box FilmsSee full company information

","$2,898",,"February 13, 2019
            (Italy)",,1 hr 51 min,"Crime
    
        Drama","See more details at IMDbPro

"
263,264,3 from Hell,"$2,295,825","$2,172,949",94.6%,"$122,876",5.4%,2019,"Saban FilmsSee full company information

",,,"September 16, 2019
            (Domestic)",R,1 hr 55 min,Horror,"See more details at IMDbPro

"
264,265,Luce,"$2,268,204","$2,010,613",88.6%,"$257,591",11.4%,2019,"NeonSee full company information

","$132,987",,"August 2, 2019
            (Domestic)",R,1 hr 49 min,"Drama
    
        Mystery","See more details at IMDbPro

"
265,266,Gone with the Wind 2019 Re-release,"$2,176,120","$2,176,120",100%,-,-,2019,"Metro-Goldwyn-Mayer (MGM)See full company information

",,,"December 15, 1939
            (Domestic)",,3 hr 58 min,"Drama
    
        History
    
        Romance
    
        War","See more details at IMDbPro

"
266,267,42nd Street: The Musical,"$1,985,457","$187,440",9.4%,"$1,798,017",90.6%,2019,"Fathom EventsSee full company information

",,,"May 1, 2019
            (Domestic)",Not Rated,2 hr 35 min,Musical,"See more details at IMDbPro

"
267,268,Luka Chuppi,"$1,923,586","$1,042,905",54.2%,"$880,681",45.8%,2019,"Viva PicturesSee full company information

","$485,342",,"February 28, 2019
            (APAC, EMEA)",,2 hr 6 min,"Comedy
    
        Romance","See more details at IMDbPro

"
268,269,Fantastic Fungi,"$1,864,309","$1,788,322",95.9%,"$75,987",4.1%,2019,"Area 23aSee full company information

","$9,419",,"September 20, 2019
            (Domestic)",,1 hr 21 min,Documentary,"See more details at IMDbPro

"
269,270,The Other Side of Heaven 2: Fire of Faith,"$1,807,216","$1,807,216",100%,-,-,2019,"ArtAffects EntertainmentSee full company information

","$454,257",,"June 28, 2019
            (Domestic)",PG-13,1 hr 57 min,"Adventure
    
        Biography
    
        Drama","See more details at IMDbPro

"
270,271,Polaroid,"$1,772,204",-,-,"$1,772,204",100%,2019,Dimension Films,,,"May 3, 2019
            (Iceland)",PG-13,1 hr 28 min,"Drama
    
        Horror
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
271,272,Invisible Life,"$1,766,249","$146,535",8.3%,"$1,619,714",91.7%,2019,"Amazon StudiosSee full company information

","$8,127",,"September 12, 2019
            (Italy)",R,2 hr 19 min,Drama,"See more details at IMDbPro

"
272,273,Matthias & Maxime,"$1,730,255","$374,739",21.7%,"$1,355,516",78.3%,2019,"Entertainment OneSee full company information

","$64,988",,"October 9, 2019
            (Domestic)",,1 hr 59 min,Drama,"See more details at IMDbPro

"
273,274,The Souvenir,"$1,719,157","$1,036,737",60.3%,"$682,420",39.7%,2019,"A24See full company information

","$78,400",,"May 17, 2019
            (Domestic)",R,2 hr,"Drama
    
        Mystery
    
        Romance","See more details at IMDbPro

"
274,275,La femme de mon frère,"$1,671,969","$539,524",32.3%,"$1,132,445",67.7%,2019,"Entertainment OneSee full company information

","$59,438",,"June 7, 2019
            (Domestic)",,1 hr 57 min,Drama,"See more details at IMDbPro

"
275,276,Student of the Year 2,"$1,635,907","$778,566",47.6%,"$857,341",52.4%,2019,"FIPSee full company information

","$462,108",,"May 9, 2019
            (APAC, EMEA)",Not Rated,2 hr 26 min,"Drama
    
        Romance
    
        Sport","See more details at IMDbPro

"
276,277,Deerskin,"$1,615,875",-,-,"$1,615,875",100%,2019,"Greenwich EntertainmentSee full company information

",,,"June 19, 2019
            (France)",,1 hr 17 min,"Comedy
    
        Horror","See more details at IMDbPro

"
277,278,Monos,"$1,594,628","$406,473",25.5%,"$1,188,155",74.5%,2019,"NeonSee full company information

","$49,843",,"August 15, 2019
            (Colombia)",R,1 hr 42 min,"Adventure
    
        Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

"
