,Year_Rank,Title,Worldwide_Gross,Domestic,Percent_Domestic,Foreign,Percent_Foreign,Year,Domestic Distributor,Domestic Opening,Earliest Release Date,MPAA,Running Time,Genres,"
828,836,Painless,"$7,082","$7,082",100%,-,-,2018,"Indican PicturesSee full company information

","$2,958","September 21, 2018
            (Domestic)",,1 hr 21 min,"Drama
    
        Thriller","See more details at IMDbPro

",
829,837,In Echo Park,"$7,072","$7,072",100%,-,-,2018,"Indican PicturesSee full company information

","$4,222","October 12, 2018
            (Domestic)",,1 hr 22 min,"Crime
    
        Drama","See more details at IMDbPro

",
830,838,In the Land of Pomegranates,"$7,014","$7,014",100%,-,-,2018,"First RunSee full company information

","$3,072","January 5, 2018
            (Domestic)",,2 hr,Documentary,"See more details at IMDbPro

",
831,839,Duck Butter,"$6,877","$6,877",100%,-,-,2018,"The OrchardSee full company information

","$2,797","April 27, 2018
            (Domestic)",,1 hr 33 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

",
832,840,Calling All Earthlings,"$6,756","$6,756",100%,-,-,2018,Carpe Stella,,"June 29, 2018
            (Domestic)",,1 hr 14 min,"Documentary
    
        History
    
        Sci-Fi","See more details at IMDbPro

",
833,841,A Whale of a Tale,"$6,747","$6,747",100%,-,-,2018,"Fine Line MediaSee full company information

",,"August 17, 2018
            (Domestic)",,1 hr 37 min,Documentary,"See more details at IMDbPro

",
834,842,Iceman,"$6,719","$2,138",31.8%,"$4,581",68.2%,2018,"Film MovementSee full company information

","$1,372","July 27, 2018
            (United Kingdom)",,1 hr 36 min,"Adventure
    
        Drama","See more details at IMDbPro

",
835,843,One Last Thing,"$6,232","$6,232",100%,-,-,2018,"Fathom EventsSee full company information

",,"June 13, 2018
            (Domestic)",,1 hr 31 min,Drama,"See more details at IMDbPro

",
836,844,I Am MLK Jr.,"$5,918","$5,918",100%,-,-,2018,"GathrFilmsSee full company information

",,"May 3, 2018
            (Domestic)",,1 hr 35 min,"Biography
    
        Documentary","See more details at IMDbPro

",
837,845,An Actor Prepares,"$5,891","$1,743",29.6%,"$4,148",70.4%,2018,"Gravitas VenturesSee full company information

",$933,"August 31, 2018
            (Domestic)",,1 hr 37 min,Comedy,"See more details at IMDbPro

",
838,846,Are We Not Cats,"$5,518","$5,518",100%,-,-,2018,Cleopatra Films,"$3,983","February 23, 2018
            (Domestic)",,1 hr 17 min,"Comedy
    
        Horror
    
        Romance","See more details at IMDbPro

",
839,847,Cuban Food Stories,"$5,434","$5,434",100%,-,-,2018,"First RunSee full company information

","$3,032","August 10, 2018
            (Domestic)",,1 hr 22 min,Documentary,"See more details at IMDbPro

",
840,848,In Searching,"$5,210","$5,210",100%,-,-,2018,"Indican PicturesSee full company information

","$3,090","November 9, 2018
            (Domestic)",,1 hr 30 min,"Adventure
    
        Drama
    
        Western","See more details at IMDbPro

",
841,849,Intersection,"$5,116","$5,116",100%,-,-,2018,"Indican PicturesSee full company information

","$1,940","June 15, 2018
            (Domestic)",,1 hr 23 min,"Crime
    
        Drama
    
        Mystery
    
        Romance
    
        Thriller","See more details at IMDbPro

",
842,850,Notes on an Appearance,"$5,065","$5,065",100%,-,-,2018,"Grasshopper FilmSee full company information

","$2,239","August 17, 2018
            (Domestic)",,1 hr,"Drama
    
        Mystery
    
        Thriller","See more details at IMDbPro

",
843,851,The Texture of Falling,"$5,010","$5,010",100%,-,-,2018,BloodSweatHoney,$676,"June 1, 2018
            (Domestic)",,1 hr 15 min,Drama,"See more details at IMDbPro

",
844,852,Social Animals,"$5,007","$5,007",100%,-,-,2018,"Vertical EntertainmentSee full company information

","$2,505","June 1, 2018
            (Domestic)",R,1 hr 30 min,Comedy,"See more details at IMDbPro

",
845,853,An L.A. Minute,"$5,004","$5,004",100%,-,-,2018,"Strand ReleasingSee full company information

","$2,791","August 24, 2018
            (Domestic)",R,1 hr 26 min,Comedy,"See more details at IMDbPro

",
846,854,The Other Side of Everything,"$4,685","$4,685",100%,-,-,2018,"Icarus FilmsSee full company information

",$315,"July 13, 2018
            (Domestic)",,1 hr 40 min,"Biography
    
        Documentary","See more details at IMDbPro

",
847,855,The Long Dumb Road,"$4,667","$4,667",100%,-,-,2018,"The Film ArcadeSee full company information

","$4,667","November 9, 2018
            (Domestic)",R,1 hr 30 min,Comedy,"See more details at IMDbPro

",
848,856,Weightless,"$4,530","$4,461",98.5%,$69,1.5%,2018,"Great Point MediaSee full company information

","$2,515","November 9, 2018
            (Domestic)",R,1 hr 33 min,Drama,"See more details at IMDbPro

",
849,857,The Peacemaker,"$4,400","$4,400",100%,-,-,2018,Central Square Films,"$4,400","February 9, 2018
            (Domestic)",,1 hr 30 min,Documentary,"See more details at IMDbPro

",
850,858,The Party's Just Beginning,"$4,371","$4,145",94.8%,$226,5.2%,2018,"The OrchardSee full company information

","$2,770","December 7, 2018
            (Domestic)",,1 hr 31 min,"Comedy
    
        Drama","See more details at IMDbPro

",
851,859,Cocote,"$4,224","$3,815",90.3%,$409,9.7%,2018,"Grasshopper FilmSee full company information

","$1,436","April 5, 2018
            (Argentina)",,1 hr 46 min,Drama,"See more details at IMDbPro

",
852,860,Stella's Last Weekend,"$4,215","$4,215",100%,-,-,2018,"PaladinSee full company information

","$2,375","October 12, 2018
            (Domestic)",,1 hr 42 min,"Comedy
    
        Drama","See more details at IMDbPro

",
853,861,Armed,"$3,948","$3,948",100%,-,-,2018,"GVN ReleasingSee full company information

","$2,227","September 14, 2018
            (Domestic)",R,1 hr 58 min,"Action
    
        Thriller","See more details at IMDbPro

",
854,862,American Dresser,"$3,895","$3,895",100%,-,-,2018,"Cinedigm Entertainment GroupSee full company information

","$2,211","September 21, 2018
            (Domestic)",,1 hr 37 min,Adventure,"See more details at IMDbPro

",
855,863,The Second Time Around,"$3,837","$3,837",100%,-,-,2018,"First RunSee full company information

",,"November 30, 2018
            (Domestic)",,1 hr 47 min,Romance,"See more details at IMDbPro

",
856,864,Nelly,"$3,751","$3,751",100%,-,-,2018,"Cinema Libre StudioSee full company information

","$1,304","September 7, 2018
            (Domestic)",,1 hr 40 min,Drama,"See more details at IMDbPro

",
857,865,The Family,"$3,696","$3,696",100%,-,-,2018,"Film MovementSee full company information

","$2,030","August 3, 2018
            (Domestic)",,1 hr 22 min,Drama,"See more details at IMDbPro

",
858,866,Fourplay,"$3,550","$3,550",100%,-,-,2018,"Parade Deck FilmsSee full company information

","$3,550","March 30, 2018
            (Domestic)",,1 hr 17 min,"Comedy
    
        Drama","See more details at IMDbPro

",
859,867,The Citizen 2018 Re-release,"$3,495","$3,495",100%,-,-,2018,,,"January 26, 2017
            (Hungary)",,1 hr 49 min,Drama,"See more details at IMDbPro

",
860,868,The Cage Fighter,"$3,392","$3,392",100%,-,-,2018,"IFC FilmsSee full company information

","$1,204","February 2, 2018
            (Domestic)",,1 hr 21 min,"Action
    
        Documentary
    
        Drama","See more details at IMDbPro

",
861,869,Followers,"$3,350","$3,350",100%,-,-,2018,"Cinedigm Entertainment GroupSee full company information

",,"March 23, 2018
            (Domestic)",,1 hr 22 min,Thriller,"See more details at IMDbPro

",
862,870,Over the Limit,"$3,243","$3,243",100%,-,-,2018,"Film MovementSee full company information

","$1,402","October 12, 2018
            (Domestic)",,1 hr 14 min,"Documentary
    
        Sport","See more details at IMDbPro

",
863,871,Game Changers,"$3,142","$3,142",100%,-,-,2018,"Ammo ContentSee full company information

","$3,142","June 29, 2018
            (Domestic)",,1 hr 36 min,Documentary,"See more details at IMDbPro

",
864,872,Hot to Trot,"$3,133","$3,133",100%,-,-,2018,"First RunSee full company information

","$3,133","August 24, 2018
            (Domestic)",,1 hr 28 min,Documentary,"See more details at IMDbPro

",
865,873,Nana,"$2,784","$2,784",100%,-,-,2018,Fun Academy Motion Pictures,"$1,240","April 13, 2018
            (Domestic)",,1 hr 40 min,"Documentary
    
        History
    
        War","See more details at IMDbPro

",
866,874,Straight Into a Storm,"$2,684","$2,684",100%,-,-,2018,"AbramoramaSee full company information

","$1,964","June 15, 2018
            (Domestic)",,1 hr 50 min,"Biography
    
        Documentary
    
        Music","See more details at IMDbPro

",
867,875,ACORN and the Firestorm,"$2,621","$2,621",100%,-,-,2018,"First RunSee full company information

","$2,621","April 6, 2018
            (Domestic)",,1 hr 24 min,Documentary,"See more details at IMDbPro

",
868,876,West Of The Jordan River,"$1,926","$1,926",100%,-,-,2018,"Kino LorberSee full company information

","$1,047","January 26, 2018
            (Domestic)",,1 hr 24 min,Documentary,"See more details at IMDbPro

",
869,877,Finding Happiness,"$1,841","$1,841",100%,-,-,2018,"GathrFilmsSee full company information

",,"April 6, 2018
            (Domestic)",,1 hr 36 min,Documentary,"See more details at IMDbPro

",
870,878,The Lost Village,"$1,780","$1,780",100%,-,-,2018,"First RunSee full company information

",$840,"October 19, 2018
            (Domestic)",,1 hr 29 min,Documentary,"See more details at IMDbPro

",
871,879,Henchmen,"$1,469","$1,469",100%,-,-,2018,"Entertainment OneSee full company information

",$580,"December 7, 2018
            (Domestic)",,1 hr 29 min,"Animation
    
        Comedy","See more details at IMDbPro

",
872,880,That Way Madness Lies...,"$1,447","$1,447",100%,-,-,2018,"First RunSee full company information

",$579,"December 14, 2018
            (Domestic)",,1 hr 41 min,"Documentary
    
        Drama","See more details at IMDbPro

",
873,881,Beauty and the Beholder,"$1,368","$1,368",100%,-,-,2018,"Reel One EntertainmentSee full company information

","$1,352","October 26, 2018
            (Domestic)",,1 hr 35 min,"Comedy
    
        Drama
    
        Romance","See more details at IMDbPro

",
874,882,Altered Perception,"$1,259","$1,259",100%,-,-,2018,"Cinedigm Entertainment GroupSee full company information

",,"May 4, 2018
            (Domestic)",,1 hr 19 min,"Fantasy
    
        Mystery
    
        Sci-Fi
    
        Thriller","See more details at IMDbPro

",
875,883,Two Men Went to War 2018 Re-release,"$1,227","$1,227",100%,-,-,2018,"Indican PicturesSee full company information

","$10,672","October 23, 2003
            (New Zealand)",PG,1 hr 49 min,"Comedy
    
        Drama
    
        War","See more details at IMDbPro

",
876,884,Under the Turban,"$1,190","$1,190",100%,-,-,2018,"GathrFilmsSee full company information

",,"April 25, 2018
            (Domestic)",,1 hr 29 min,Documentary,"See more details at IMDbPro

",
877,885,Half Brothers,"$1,100","$1,100",100%,-,-,2018,"Parade Deck FilmsSee full company information

","$1,100","September 21, 2018
            (Domestic)",,1 hr 37 min,"Comedy
    
        Drama","See more details at IMDbPro

",
878,886,Invisible Hands,"$1,034","$1,034",100%,-,-,2018,"First RunSee full company information

",$456,"November 23, 2018
            (Domestic)",,1 hr 20 min,Documentary,"See more details at IMDbPro

",
